cluster,observer_path,observer_label_values,observer_type,observer_value_class,observer_sample,observer_n_files,viewpoint_path,viewpoint_short_label,viewpoint_long_label,viewpoint_type,viewpoint_value_class,viewpoint_sample,viewpoint_n_files,notes
biometry,,,,,,,OBX ExtremitiesFetus.VP_TibiaUndefinedLength_DevRatio,,,float (NM),percentile,-31.6 (-31.6%),1/7,
biometry,,,,,,,OBX ExtremitiesFetus.VP_TibiaUndefinedLength_Deviation,,,float (NM),decimal,-2.6 (-2.6SD),1/7,
biometry,,,,,,,OBX ExtremitiesFetus.VP_TibiaUndefinedLength_Percentile,,,int (NM),percentile,0 (<1%),1/7,
biometry,,,,,,,OBX Fetus.BonyThoracicCircumferenceOverAbdominalCircumference,ThC / AC,Ratio bony thoracic circumference / Abdominal circumference,float (NM),decimal,0.73221477 (0.73)|0.89056902 (0.89),2/7,
biometry,,,,,,,OBX Fetus.EstimatedFetalWeight,EFW,Estimated fetal weight,float (NM),decimal,651.85456908 (652)|260.66063565 (261)|679.35773729 (679)|1942.49329768 (1942)|918.09260653 (918)|536.32107116 (536),6/7,
biometry,,,,,,,OBX Fetus.EstimatedFetalWeightLb,EFW (lb),Estimated fetal weight (lb),int (NM),integer,1|0|4|2,6/7,
biometry,,,,,,,OBX Fetus.EstimatedFetalWeightMethod,EFW by,Estimated fetal weight calculated by,str (ST),coded_text,Hadlock (BPD-HC-AC-FL),6/7,
biometry,,,,,,,OBX Fetus.EstimatedFetalWeightOz,EFW (oz),Estimated fetal weight (oz),int (NM),integer,7|9|8|5|0|3,6/7,
biometry,,,,,,,OBX Fetus.FemurUndefinedLengthOverHeadCircumference,FL / HC,Ratio femur length / Head circumference,float (NM),decimal,0.18|0.15|0.19|0.22|0.2 (0.20)|0.17,6/7,
biometry,,,,,,,OBX Fetus.VP_EstimatedFetalWeight_DevRatio,,,float (NM),decimal|percentile,-2.7 (-2.7%)|-7.3 (-7.3%)|1.4 (+1.4%)|-4.9 (-4.9%)|-25.6 (-25.6%)|-16.3 (-16.3%),6/7,
biometry,,,,,,,OBX Fetus.VP_EstimatedFetalWeight_Deviation,,,float (NM),decimal,-0.2 (-0.2SD)|-0.6 (-0.6SD)|0.1 (+0.1SD)|-0.4 (-0.4SD)|-1.9 (-1.9SD)|-1.2 (-1.2SD),6/7,
biometry,,,,,,,OBX Fetus.VP_EstimatedFetalWeight_Percentile,,,int (NM),percentile,42 (42%)|29 (29%)|54 (54%)|36 (36%)|3 (3%)|11 (11%),6/7,
biometry,,,,,,,OBX Fetus.VP_FemurUndefinedLengthOverAbdominalCircumference_Author,,,str (ST),coded_text,Hadlock,6/7,
biometry,,,,,,,OBX Fetus.VP_FemurUndefinedLengthOverAbdominalCircumference_DevRatio,,,float (NM),percentile,-18.1 (-18.1%),1/7,
